age,responses,glazed,jelly,powdered,sprinkles
18,7,3.14,4.43,2.43,3.86
19,3,3,3.67,2.67,4
20,3,2,4,2.33,4.33
21,2,3.5,4.5,1,3.5
22,6,2.83,3.5,1.83,4.5
23,4,3.25,4.75,2.25,3.5
25,2,1.5,4,2.5,4
26,3,1.67,3,1.33,4
27,2,2.5,4,1,4.5
28,3,3,4.33,1.33,4.33
29,1,5,4,1,4
30,1,5,5,2,5
31,4,1.5,4.5,3,4.75
32,3,3.67,3.33,1.67,4.67
33,2,2,4.5,1,5
34,4,2.75,3.75,2.5,4.5
35,4,4,3,2.75,4.25
36,2,1.5,3,4,4
37,2,3,3,3.5,4
39,3,4,2,3.33,4.67
40,2,3.5,3,4,4.5
41,4,2.75,2.75,4,4.25
42,4,2.25,2.5,1.75,4.25
43,1,1,2,1,5
44,3,2,3,3.67,3.33
46,3,3.33,2.33,3.33,3.33
47,4,2.25,4,2.75,3
48,4,3.75,2,3,2.75
49,4,2.75,2,3.75,3.25
51,3,2.67,2.67,1.67,3.67
52,2,2.5,2.5,4,3
53,3,3,3.67,4.67,2.67
54,2,5,5,5,3.5
55,3,2.33,1.67,2.33,3.33
56,1,3,2,3,3
57,1,2,2,2,4
59,4,1.25,2,3,1.75
60,2,2.5,2.5,4,2.5
61,3,2.33,2.33,2.67,3
62,4,2.25,2.5,3.75,3
63,2,1.5,3,3,2
64,5,2,3,3.4,2.4
65,2,2,1,4.5,2
66,3,2,1.67,4,1.67
67,4,1.5,1.75,3.75,2.25
68,4,2,2.5,4.25,2
70,1,3,2,3,3
71,3,2.33,2.67,4.33,2.33
72,4,3,2.5,3.75,2
73,2,2,2.5,4.5,2.5
74,2,3,2,4,1.5
